sample	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19
c_ll_og_0187	-4.18978102189781	148.277372262774	29.7591240875912	12718.6204379562	228.175182481752	-262.773722627737	490.948905109489	150.846715328467	-166.408759124088	150.846715328467	-177.299270072993	299.029197080292	82.0583941605839	3.18248175182482	102.912408759124	200.43795620438	11.3941605839416	200.43795620438	11.4233576642336
c_ll_ka_0188	-27.1798561151079	141.884892086331	27.0647482014388	13858.1007194245	222.431654676259	-292.482014388489	514.913669064748	143.690647482014	-213.36690647482	143.690647482014	-213.36690647482	369.064748201439	104.755395683453	2.55395683453237	110.935251798561	257.676258992806	9.07194244604317	257.676258992806	9.07194244604317
c_ll_ka_0189	-35.6879432624113	139.510638297872	26.6241134751773	13751.5035460993	212.985815602837	-301.297872340426	514.283687943262	134.581560283688	-212.219858156028	134.581560283688	-220.482269503546	429.709219858156	119.425531914894	3.45390070921986	108.54609929078	293.602836879433	11.5106382978723	293.602836879433	11.5886524822695
c_ll_to_0190	-22.1176470588235	137.764705882353	25.8088235294118	14465.6029411765	229.551470588235	-294.323529411765	523.875	154.397058823529	-205.75	154.397058823529	-217.830882352941	270.382352941176	83.6544117647059	1.69117647058824	119.014705882353	199.426470588235	6.07352941176471	199.426470588235	6.07352941176471
c_ll_to_0191	-27.9705882352941	137.941176470588	25.5367647058824	14684.8382352941	226.485294117647	-303.183823529412	529.669117647059	151.080882352941	-220.007352941176	151.080882352941	-226.897058823529	295.272058823529	90.4411764705882	2.00735294117647	117.404411764706	215.117647058824	6.91911764705882	215.117647058824	6.91911764705882
c_ll_ur_0194	14.5766871165644	98.760736196319	21.9693251533742	12027.3128834356	239.41717791411	-200.251533742331	439.668711656442	163.601226993865	-125.018404907975	163.601226993865	-144.779141104294	575.736196319018	97.2147239263804	21.2699386503067	45.6625766871166	239.478527607362	73.4846625766871	239.478527607362	84.1349693251534
c_ll_ur_0195	14.5833333333333	101.820512820513	22.1089743589744	12401.7371794872	244.121794871795	-206.134615384615	450.25641025641	167.217948717949	-131.205128205128	167.217948717949	-149.596153846154	540.673076923077	97.8846153846154	20.1410256410256	48.6858974358974	230.730769230769	67.3589743589744	230.730769230769	76.6923076923077
c_ll_ur_0196	14.5833333333333	101.820512820513	22.1089743589744	12401.7371794872	244.121794871795	-206.134615384615	450.25641025641	167.217948717949	-131.205128205128	167.217948717949	-149.596153846154	540.673076923077	97.8846153846154	20.1410256410256	48.6858974358974	230.730769230769	67.3589743589744	230.730769230769	76.6923076923077
c_ll_ur_0199	12.687898089172	102.872611464968	22.3057324840764	12396.025477707	242.821656050955	-208.585987261146	451.407643312102	165.216560509554	-133.15923566879	165.216560509554	-151.426751592357	554.643312101911	98.3821656050955	21.1273885350318	47.1082802547771	233.700636942675	70.7070063694268	233.700636942675	80.312101910828
c_ll_ur_0200	7.875	106.230263157895	22.7302631578947	12486.1644736842	240.743421052632	-216.480263157895	457.223684210526	161.151315789474	-139.875	161.151315789474	-157.407894736842	564.177631578947	95.4868421052632	22.7368421052632	43.4210526315789	230.848684210526	76.2171052631579	230.848684210526	86.4539473684211
c_ll_ur_0202	20.0316455696203	103.791139240506	22.006329113924	12821.835443038	254.367088607595	-206.696202531646	461.063291139241	177.044303797468	-132.430379746835	177.044303797468	-149.386075949367	445.677215189873	85.2658227848101	16.0886075949367	51.5	195.911392405063	53.0949367088608	195.911392405063	61.4683544303797
c_ll_ur_0203	15.9276315789474	107.572368421053	22.9934210526316	12424.1052631579	247.243421052632	-209.736842105263	456.980263157895	167.802631578947	-100.269736842105	167.802631578947	-148.559210526316	552.894736842105	76.8684210526316	24.0065789473684	32.9078947368421	202.098684210526	84.5855263157895	202.098684210526	101.125
c_ll_cr_0205	67.8848920863309	89.9568345323741	29.2014388489209	7468.59712230216	221.517985611511	-81.0863309352518	302.604316546763	158.712230215827	-20.8561151079137	158.928057553957	-33.7985611510791	834.798561151079	121.21582733813	39.1079136690648	40.0431654676259	333.374100719424	124.978417266187	333.374100719424	132.330935251799
c_ll_cr_0206	71.0551181102362	98.8818897637795	30.8582677165354	7737.27559055118	228.968503937008	-86.4645669291339	315.433070866142	150.251968503937	-20.0157480314961	165.188976377953	-33.7007874015748	686.212598425197	103.047244094488	34.0944881889764	41.8267716535433	281.614173228346	105.385826771654	271.669291338583	109.070866141732
c_ll_cr_0207	94.3255813953488	94.3798449612403	30.8062015503876	7451.84496124031	252.372093023256	-48.7906976744186	301.162790697674	169.68992248062	8.08527131782946	185.410852713178	-5.65891472868217	699.604651162791	100.968992248062	40.3488372093023	30.9922480620155	259.341085271318	124.604651162791	243.364341085271	137.023255813953
